"V1","V2"
"Direct-Display-Affiliate-Paid Search-Organic Search-End",24
"Direct-Display-Affiliate-Organic Search-Direct-End",17
"Direct-Display-Affiliate-Organic Search-Paid Search-End",33
"Direct-Display-Paid Search-Direct-Social-End",810
"Direct-Display-Paid Search-Direct-Display-End",514
"Direct-Display-Paid Search-Direct-Affiliate-End",154
"Direct-Display-Paid Search-Direct-Paid Search-End",1969
"Direct-Display-Paid Search-Direct-Organic Search-End",148
"Direct-Display-Paid Search-Display-Direct-End",609
"Direct-Display-Paid Search-Display-Social-End",2020
"Direct-Display-Paid Search-Display-Affiliate-End",113
"Direct-Display-Paid Search-Display-Paid Search-End",2749
"Direct-Display-Paid Search-Display-Organic Search-End",361
"Direct-Display-Paid Search-Affiliate-Direct-End",53
"Direct-Display-Paid Search-Affiliate-Social-End",84
"Direct-Display-Paid Search-Affiliate-Display-End",28
"Direct-Display-Paid Search-Affiliate-Paid Search-End",156
"Direct-Display-Paid Search-Affiliate-Organic Search-End",8
"Direct-Display-Paid Search-Organic Search-Direct-End",242
"Direct-Display-Paid Search-Organic Search-Social-End",75
"Direct-Display-Paid Search-Organic Search-Display-End",25
"Direct-Display-Paid Search-Organic Search-Paid Search-End",1073
"Direct-Display-Organic Search-Direct-Social-End",240
"Direct-Display-Organic Search-Direct-Display-End",83
"Direct-Display-Organic Search-Direct-Affiliate-End",29
"Direct-Display-Organic Search-Direct-Paid Search-End",660
"Direct-Display-Organic Search-Direct-Organic Search-End",115
"Direct-Display-Organic Search-Display-Direct-End",31
"Direct-Display-Organic Search-Display-Social-End",42
"Direct-Display-Organic Search-Display-Paid Search-End",60
"Direct-Display-Organic Search-Display-Organic Search-End",46
"Direct-Display-Organic Search-Affiliate-Social-End",5
"Direct-Display-Organic Search-Affiliate-Paid Search-End",12
"Direct-Display-Organic Search-Affiliate-Organic Search-End",1
"Direct-Display-Organic Search-Paid Search-Direct-End",439
"Direct-Display-Organic Search-Paid Search-Social-End",2456
"Direct-Display-Organic Search-Paid Search-Display-End",350
"Direct-Display-Organic Search-Paid Search-Affiliate-End",36
"Direct-Display-Organic Search-Paid Search-Organic Search-End",926
"Direct-Affiliate-Direct-Display-Direct-End",83
"Direct-Affiliate-Direct-Display-Social-End",94
"Direct-Affiliate-Direct-Display-Affiliate-End",39
"Direct-Affiliate-Direct-Display-Paid Search-End",151
"Direct-Affiliate-Direct-Display-Organic Search-End",30
"Direct-Affiliate-Direct-Affiliate-Direct-End",428
"Direct-Affiliate-Direct-Affiliate-Social-End",352
"Direct-Affiliate-Direct-Affiliate-Display-End",44
"Direct-Affiliate-Direct-Affiliate-Paid Search-End",342
"Direct-Affiliate-Direct-Affiliate-Organic Search-End",20
"Direct-Affiliate-Direct-Paid Search-Direct-End",823
"Direct-Affiliate-Direct-Paid Search-Social-End",746
"Direct-Affiliate-Direct-Paid Search-Display-End",69
"Direct-Affiliate-Direct-Paid Search-Affiliate-End",158
"Direct-Affiliate-Direct-Paid Search-Organic Search-End",75
"Direct-Affiliate-Direct-Organic Search-Direct-End",107
"Direct-Affiliate-Direct-Organic Search-Social-End",24
"Direct-Affiliate-Direct-Organic Search-Paid Search-End",215
"Direct-Affiliate-Display-Direct-Social-End",71
"Direct-Affiliate-Display-Direct-Display-End",48
"Direct-Affiliate-Display-Direct-Affiliate-End",51
"Direct-Affiliate-Display-Direct-Paid Search-End",111
